"country	country_code	ETS information	main activity sector name	unit	value	year"
"United Kingdom	GB	4.1 Surrendered EU allowances (EUAs and EUAAs)	20-99 All stationary installations	tonne of CO2 equ.	187058689	2012"
"United Kingdom	GB	4.3 Surrendered emission reduction units (ERUs)	20-99 All stationary installations	tonne of CO2 equ.	0	2005"
"United Kingdom	GB	1.1.1 Free allocation to existing entities (Art. 10a(1))	21  Refining of mineral oil	tonne of CO2 equ.	14285526	2006"
"United Kingdom	GB	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21  Refining of mineral oil	tonne of CO2 equ.	0	2013"
"United Kingdom	GB	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21  Refining of mineral oil	tonne of CO2 equ.	0	2014"
"Italy	IT	4. Total surrendered units	24  Production of pig iron or steel	tonne of CO2 equ.	9821781	2016"
"Italy	IT	4.1 Surrendered EU allowances (EUAs and EUAAs)	24  Production of pig iron or steel	tonne of CO2 equ.	15083192	2008"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	25 Production or processing of ferrous metals	tonne of CO2 equ.	919990	2010"
"Italy	IT	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	25 Production or processing of ferrous metals	tonne of CO2 equ.	0	2017"
"Italy	IT	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	25 Production or processing of ferrous metals	tonne of CO2 equ.	0	2018"
"Italy	IT	2. Verified emissions	25 Production or processing of ferrous metals	tonne of CO2 equ.	1426631	2013"
"Italy	IT	2. Verified emissions	25 Production or processing of ferrous metals	tonne of CO2 equ.	1272301	2014"
"Italy	IT	2. Verified emissions	25 Production or processing of ferrous metals	tonne of CO2 equ.	1567100	2015"
"Italy	IT	4. Total surrendered units	25 Production or processing of ferrous metals	tonne of CO2 equ.	2128179	2016"
"Italy	IT	4.1 Surrendered EU allowances (EUAs and EUAAs)	25 Production or processing of ferrous metals	tonne of CO2 equ.	421216	2007"
"Italy	IT	4.1 Surrendered EU allowances (EUAs and EUAAs)	25 Production or processing of ferrous metals	tonne of CO2 equ.	494021	2008"
"Italy	IT	4.2 Surrendered certified emission reductions (CERs)	25 Production or processing of ferrous metals	tonne of CO2 equ.	0	2005"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	26 Production of primary aluminium	tonne of CO2 equ.	0	2016"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	26 Production of primary aluminium	tonne of CO2 equ.	0	2019"
"Italy	IT	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	26 Production of primary aluminium	tonne of CO2 equ.	0	2019"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	27 Production of secondary aluminium	tonne of CO2 equ.	97310	2016"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	27 Production of secondary aluminium	tonne of CO2 equ.	91721	2019"
"Italy	IT	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	27 Production of secondary aluminium	tonne of CO2 equ.	0	2019"
"Italy	IT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	36148	2016"
"Italy	IT	4.1 Surrendered EU allowances (EUAs and EUAAs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2010"
"Italy	IT	4.3 Surrendered emission reduction units (ERUs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2005"
"Italy	IT	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	16807239	2016"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	14492168	2019"
"Italy	IT	4. Total surrendered units	29 Production of cement clinker	tonne of CO2 equ.	20936888	2011"
"Italy	IT	4. Total surrendered units	29 Production of cement clinker	tonne of CO2 equ.	15648075	2012"
"Italy	IT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	0	2013"
"Italy	IT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	76270	2017"
"Italy	IT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	74844	2018"
"Italy	IT	2. Verified emissions	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	2309316	2010"
"Italy	IT	2. Verified emissions	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	2197315	2017"
"Italy	IT	4. Total surrendered units	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	192682	2005"
"Italy	IT	4.1 Surrendered EU allowances (EUAs and EUAAs)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1760328	2012"
"Italy	IT	4.2 Surrendered certified emission reductions (CERs)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	0	2007"
"Italy	IT	4.2 Surrendered certified emission reductions (CERs)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	14930	2008"
"Italy	IT	1.1 Freely allocated allowances	31 Manufacture of glass	tonne of CO2 equ.	2170855	2013"
"Italy	IT	1.1 Freely allocated allowances	31 Manufacture of glass	tonne of CO2 equ.	2134584	2014"
"Italy	IT	1.1 Freely allocated allowances	31 Manufacture of glass	tonne of CO2 equ.	2022861	2018"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	31 Manufacture of glass	tonne of CO2 equ.	2964351	2006"
"Luxembourg	LU	4.3 Surrendered emission reduction units (ERUs)	24  Production of pig iron or steel	tonne of CO2 equ.	0	2007"
"Luxembourg	LU	4. Total surrendered units	25 Production or processing of ferrous metals	tonne of CO2 equ.	47595	2013"
"Luxembourg	LU	4. Total surrendered units	25 Production or processing of ferrous metals	tonne of CO2 equ.	49070	2014"
"Luxembourg	LU	4. Total surrendered units	25 Production or processing of ferrous metals	tonne of CO2 equ.	48058	2015"
"Luxembourg	LU	4.2 Surrendered certified emission reductions (CERs)	25 Production or processing of ferrous metals	tonne of CO2 equ.	0	2010"
"Luxembourg	LU	1.1 Freely allocated allowances	27 Production of secondary aluminium	tonne of CO2 equ.	35663	2017"
"Luxembourg	LU	1.1 Freely allocated allowances	27 Production of secondary aluminium	tonne of CO2 equ.	34983	2018"
"Luxembourg	LU	1.1.1 Free allocation to existing entities (Art. 10a(1))	27 Production of secondary aluminium	tonne of CO2 equ.	17453	2014"
"Luxembourg	LU	1.1.1 Free allocation to existing entities (Art. 10a(1))	27 Production of secondary aluminium	tonne of CO2 equ.	17141	2015"
"Luxembourg	LU	4.2 Surrendered certified emission reductions (CERs)	27 Production of secondary aluminium	tonne of CO2 equ.	0	2007"
"Luxembourg	LU	4.2 Surrendered certified emission reductions (CERs)	27 Production of secondary aluminium	tonne of CO2 equ.	0	2008"
"Luxembourg	LU	4.3 Surrendered emission reduction units (ERUs)	27 Production of secondary aluminium	tonne of CO2 equ.	0	2006"
"Luxembourg	LU	4.3 Surrendered emission reduction units (ERUs)	27 Production of secondary aluminium	tonne of CO2 equ.	0	2009"
"Luxembourg	LU	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	593160	2013"
"Luxembourg	LU	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	582858	2014"
"Luxembourg	LU	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	540506	2018"
"Luxembourg	LU	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	846079	2006"
"Luxembourg	LU	4.2 Surrendered certified emission reductions (CERs)	29 Production of cement clinker	tonne of CO2 equ.	0	2005"
"Luxembourg	LU	4.3 Surrendered emission reduction units (ERUs)	29 Production of cement clinker	tonne of CO2 equ.	0	2009"
"Luxembourg	LU	1.1 Freely allocated allowances	31 Manufacture of glass	tonne of CO2 equ.	258335	2007"
"Luxembourg	LU	1.1 Freely allocated allowances	31 Manufacture of glass	tonne of CO2 equ.	234842	2008"
"Luxembourg	LU	1.1.1 Free allocation to existing entities (Art. 10a(1))	31 Manufacture of glass	tonne of CO2 equ.	258335	2005"
"Luxembourg	LU	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	31 Manufacture of glass	tonne of CO2 equ.	0	2019"
"Luxembourg	LU	2. Verified emissions	31 Manufacture of glass	tonne of CO2 equ.	224129	2016"
"Luxembourg	LU	4.2 Surrendered certified emission reductions (CERs)	31 Manufacture of glass	tonne of CO2 equ.	0	2006"
"Latvia	LV	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	10 Aviation	tonne of CO2 equ.	0	2016"
"Latvia	LV	4.1 Surrendered EU allowances (EUAs and EUAAs)	10 Aviation	tonne of CO2 equ.	0	2010"
"Latvia	LV	4.3 Surrendered emission reduction units (ERUs)	10 Aviation	tonne of CO2 equ.	0	2005"
"Latvia	LV	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	2989485	2005"
"Latvia	LV	1.1.1 Free allocation to existing entities (Art. 10a(1))	20 Combustion of fuels	tonne of CO2 equ.	729705	2016"
"Latvia	LV	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	20 Combustion of fuels	tonne of CO2 equ.	0	2016"
"Latvia	LV	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	20 Combustion of fuels	tonne of CO2 equ.	0	2019"
"Latvia	LV	4.1 Surrendered EU allowances (EUAs and EUAAs)	20 Combustion of fuels	tonne of CO2 equ.	1450837	2009"
"Latvia	LV	1.1 Freely allocated allowances	20-99 All stationary installations	tonne of CO2 equ.	4859121	2009"
"Latvia	LV	2. Verified emissions	20-99 All stationary installations	tonne of CO2 equ.	2923455	2011"
"Latvia	LV	2. Verified emissions	20-99 All stationary installations	tonne of CO2 equ.	2740013	2012"
"Latvia	LV	2. Verified emissions	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	884906	2006"
"Latvia	LV	4. Total surrendered units	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	629767	2016"
"Latvia	LV	4. Total surrendered units	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	903692	2019"
"Latvia	LV	4.1 Surrendered EU allowances (EUAs and EUAAs)	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	828414	2005"
"Latvia	LV	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	24  Production of pig iron or steel	tonne of CO2 equ.	0	2017"
"Latvia	LV	4. Total surrendered units	24  Production of pig iron or steel	tonne of CO2 equ.	355669	2007"
"Latvia	LV	4. Total surrendered units	24  Production of pig iron or steel	tonne of CO2 equ.	336370	2008"
"Latvia	LV	4.1 Surrendered EU allowances (EUAs and EUAAs)	24  Production of pig iron or steel	tonne of CO2 equ.	72293	2011"
"Latvia	LV	4.1 Surrendered EU allowances (EUAs and EUAAs)	24  Production of pig iron or steel	tonne of CO2 equ.	139269	2012"
"Latvia	LV	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	349921	2007"
"Latvia	LV	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	340947	2008"
"Latvia	LV	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	349921	2005"
"Spain	ES	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	0	2013"
"Spain	ES	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	0	2014"
"Spain	ES	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	0	2018"
"Spain	ES	4. Total surrendered units	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	2335782	2007"
"Greece	GR	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	54166200	Total 3rd trading period (13-20)"
"Greece	GR	1.1 Freely allocated allowances	33 Manufacture of mineral wool	tonne of CO2 equ.	42229	Total 3rd trading period (13-20)"
"Croatia	HR	1.1.1 Free allocation to existing entities (Art. 10a(1))	20-99 All stationary installations	tonne of CO2 equ.	37446379	Total 3rd trading period (13-20)"
"Croatia	HR	1.1 Freely allocated allowances	27 Production of secondary aluminium	tonne of CO2 equ.	3152	Total 3rd trading period (13-20)"
"Croatia	HR	2. Verified emissions	32 Manufacture of ceramics	tonne of CO2 equ.	509367	Total 3rd trading period (13-20)"
"Croatia	HR	4. Total surrendered units	33 Manufacture of mineral wool	tonne of CO2 equ.	664758	Total 3rd trading period (13-20)"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	10 Aviation	tonne of CO2 equ.	5921144	Total 3rd trading period (13-20)"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	27 Production of secondary aluminium	tonne of CO2 equ.	614877	Total 3rd trading period (13-20)"
"Hungary	HU	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	27 Production of secondary aluminium	tonne of CO2 equ.	0	Total 3rd trading period (13-20)"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	12279695	Total 3rd trading period (13-20)"
"Hungary	HU	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	29 Production of cement clinker	tonne of CO2 equ.	0	Total 3rd trading period (13-20)"
"Hungary	HU	4. Total surrendered units	31 Manufacture of glass	tonne of CO2 equ.	1410247	Total 3rd trading period (13-20)"
"Hungary	HU	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	36 Production of paper or cardboard	tonne of CO2 equ.	0	Total 3rd trading period (13-20)"
"Hungary	HU	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	37 Production of carbon black	tonne of CO2 equ.	0	Total 3rd trading period (13-20)"
"Ireland	IE	1.1 Freely allocated allowances	10 Aviation	tonne of CO2 equ.	42351187	Total 3rd trading period (13-20)"
"Ireland	IE	4. Total surrendered units	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	2198975	Total 3rd trading period (13-20)"
"Ireland	IE	2. Verified emissions	32 Manufacture of ceramics	tonne of CO2 equ.	22327	Total 3rd trading period (13-20)"
"Iceland	IS	1.1.1 Free allocation to existing entities (Art. 10a(1))	20-99 All stationary installations	tonne of CO2 equ.	11527090	Total 3rd trading period (13-20)"
"Italy	IT	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	61037254	Total 3rd trading period (13-20)"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	20-99 All stationary installations	tonne of CO2 equ.	551544066	Total 3rd trading period (13-20)"
"Italy	IT	1.1 Freely allocated allowances	23 Metal ore roasting or sintering	tonne of CO2 equ.	312009	Total 3rd trading period (13-20)"
"Italy	IT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	417353	Total 3rd trading period (13-20)"
"Italy	IT	2. Verified emissions	32 Manufacture of ceramics	tonne of CO2 equ.	18497579	Total 3rd trading period (13-20)"
"Italy	IT	4. Total surrendered units	33 Manufacture of mineral wool	tonne of CO2 equ.	461844	Total 3rd trading period (13-20)"
"Italy	IT	1.1.1 Free allocation to existing entities (Art. 10a(1))	42 Production of bulk chemicals	tonne of CO2 equ.	25997378	Total 3rd trading period (13-20)"
"Liechtenstein	LI	2. Verified emissions	20 Combustion of fuels	tonne of CO2 equ.	2748	Total 3rd trading period (13-20)"
"Liechtenstein	LI	1.3 Allowances auctioned or sold (EUAs and EUAAs)	20-99 All stationary installations	tonne of CO2 equ.	20500	Total 3rd trading period (13-20)"
"Lithuania	LT	1.1 Freely allocated allowances	10 Aviation	tonne of CO2 equ.	76518	Total 3rd trading period (13-20)"
"Lithuania	LT	2. Verified emissions	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	36989917	Total 3rd trading period (13-20)"
"Lithuania	LT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	31 Manufacture of glass	tonne of CO2 equ.	15726	Total 3rd trading period (13-20)"
"Lithuania	LT	4. Total surrendered units	36 Production of paper or cardboard	tonne of CO2 equ.	138583	Total 3rd trading period (13-20)"
"Lithuania	LT	1.1 Freely allocated allowances	41 Production of ammonia	tonne of CO2 equ.	15712492	Total 3rd trading period (13-20)"
"Luxembourg	LU	2. Verified emissions	20-99 All stationary installations	tonne of CO2 equ.	11400139	Total 3rd trading period (13-20)"
"Latvia	LV	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	0	Total 3rd trading period (13-20)"
"Latvia	LV	1.1.1 Free allocation to existing entities (Art. 10a(1))	31 Manufacture of glass	tonne of CO2 equ.	138330	Total 3rd trading period (13-20)"
"Latvia	LV	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	99 Other activity opted-in under Art. 24	tonne of CO2 equ.	0	Total 3rd trading period (13-20)"
"Malta	MT	3. Estimate to reflect current ETS scope for allowances and emissions	20-99 All stationary installations	tonne of CO2 equ.		Total 3rd trading period (13-20)"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	20 Combustion of fuels	tonne of CO2 equ.	2629435	2018"
"Hungary	HU	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	20 Combustion of fuels	tonne of CO2 equ.	0	2016"
"Hungary	HU	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	20 Combustion of fuels	tonne of CO2 equ.	0	2019"
"Hungary	HU	2. Verified emissions	20 Combustion of fuels	tonne of CO2 equ.	20527667	2006"
"Hungary	HU	4.3 Surrendered emission reduction units (ERUs)	20 Combustion of fuels	tonne of CO2 equ.	0	2005"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	20-99 All stationary installations	tonne of CO2 equ.	11498851	2013"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	20-99 All stationary installations	tonne of CO2 equ.	9553664	2014"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	20-99 All stationary installations	tonne of CO2 equ.	9870048	2015"
"Hungary	HU	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	20-99 All stationary installations	tonne of CO2 equ.	396306	2013"
"Hungary	HU	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	20-99 All stationary installations	tonne of CO2 equ.	420907	2014"
"Hungary	HU	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	20-99 All stationary installations	tonne of CO2 equ.	725276	2018"
"Hungary	HU	2. Verified emissions	20-99 All stationary installations	tonne of CO2 equ.	22991711	2010"
"Hungary	HU	2. Verified emissions	20-99 All stationary installations	tonne of CO2 equ.	20642090	2017"
"Hungary	HU	2. Verified emissions	20-99 All stationary installations	tonne of CO2 equ.	20054307	2018"
"Hungary	HU	4. Total surrendered units	20-99 All stationary installations	tonne of CO2 equ.	15981813	2009"
"Hungary	HU	4.1 Surrendered EU allowances (EUAs and EUAAs)	20-99 All stationary installations	tonne of CO2 equ.	25447725	2005"
"Hungary	HU	4.2 Surrendered certified emission reductions (CERs)	20-99 All stationary installations	tonne of CO2 equ.	0	2006"
"Hungary	HU	1.1 Freely allocated allowances	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	6567751	2009"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	7073917	2006"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	6567751	2009"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	6701128	2011"
"Hungary	HU	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	0	2017"
"Hungary	HU	4.2 Surrendered certified emission reductions (CERs)	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	329397	2011"
"Hungary	HU	4.2 Surrendered certified emission reductions (CERs)	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	139800	2012"
"Hungary	HU	1.1 Freely allocated allowances	22  Production of coke	tonne of CO2 equ.	264233	2005"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	22  Production of coke	tonne of CO2 equ.	264233	2007"
"Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	22  Production of coke	tonne of CO2 equ.	220519	2008"
"Hungary	HU	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	22  Production of coke	tonne of CO2 equ.	0	2016"
"Hungary	HU	4.1 Surrendered EU allowances (EUAs and EUAAs)	22  Production of coke	tonne of CO2 equ.	299823	2006"
"Hungary	HU	4.2 Surrendered certified emission reductions (CERs)	22  Production of coke	tonne of CO2 equ.	22050	2008"
"Hungary	HU	1.1 Freely allocated allowances	23 Metal ore roasting or sintering	tonne of CO2 equ.	253555	2006"
"Italy	IT	1.1 Freely allocated allowances	36 Production of paper or cardboard	tonne of CO2 equ.	2479321	2016"
"Italy	IT	1.1 Freely allocated allowances	36 Production of paper or cardboard	tonne of CO2 equ.	2381753	2019"
